origin,destination,price
PPB,MVS,460
PPB,XAP,837
PPB,CWB,525
PPB,ALT,882
PPB,AMJ,347
PPB,AFL,39
PPB,ATM,317
PPB,APY,157
PPB,APS,62
PPB,APU,933
PPB,ARU,239
PPB,ARS,495
PPB,AUX,149
PPB,APQ,736
PPB,APX,711
PPB,AAG,194
PPB,AQA,152
PPB,AAX,785
PPB,AQM,879
PPB,AAI,247
PPB,ZFU,868
PPB,AIF,887
PPB,NAT,729
PPB,BFH,938
PPB,BSS,142
PPB,BAZ,989
PPB,BQQ,598
PPB,BDC,38
PPB,BPG,106
PPB,BRA,911
PPB,BRB,614
PPB,CAW,119
PPB,RIA,426
PPB,BAU,204
PPB,BVM,455
PPB,BGV,33
PPB,BNU,354
PPB,BVB,152
PPB,BCR,41
PPB,LAZ,208
PPB,BYO,525
PPB,RBB,821
PPB,BJP,53
PPB,BVS,464
PPB,BMS,795
PPB,BZC,546
PPB,CFB,334
PPB,CFC,452
PPB,CCX,597
PPB,CCQ,367
PPB,CDI,608
PPB,OAL,338
PPB,CLV,232
PPB,CMT,492
PPB,CMC,305
PPB,CPQ,943
PPB,CMP,588
PPB,CXJ,915
PPB,CGR,569
PPB,CBW,32
PPB,NBV,527
PPB,CQA,221
PPB,CNV,844
PPB,FLB,226
PPB,CKS,829
PPB,CAF,921
PPB,CRQ,939
PPB,CZB,179
PPB,CLN,495
PPB,CAU,192
PPB,CTP,795
PPB,CAC,872
PPB,CSS,408
PPB,JPA,893
PPB,TLZ,415
PPB,IGU,254
PPB,BAT,819
PPB,LEC,143
PPB,BGX,885
PPB,CIZ,994
PPB,CSW,231
PPB,ERM,768
PPB,CDJ,49
PPB,CCI,419
PPB,STZ,736
PPB,CFO,306
PPB,CGH,575
PPB,CKO,523
PPB,CMG,186
PPB,CCM,494
PPB,CZS,132
PPB,CPU,335
PPB,SJL,676
PPB,DMT,71
PPB,DNO,24
PPB,DIQ,924
PPB,MVF,534
PPB,CTQ,498
PPB,LVB,802
PPB,DOU,970
PPB,MII,987
PPB,PVI,569
PPB,IOS,317
PPB,STM,572
PPB,UDI,199
PPB,MAO,445
PPB,ERN,564
PPB,UMU,443
PPB,URB,445
PPB,ESI,11
PPB,VIX,514
PPB,ALQ,912
PPB,PET,270
PPB,FEJ,870
PPB,FEC,6
PPB,FEN,893
PPB,FRC,309
PPB,FBE,651
PPB,JDF,143
PPB,GIG,123
PPB,PVH,529
PPB,GVR,545
PPB,GCV,935
PPB,GDP,974
PPB,GJM,263
PPB,GNM,191
PPB,GUZ,701
PPB,REC,124
PPB,GUJ,521
PPB,GMS,502
PPB,GRP,120
PPB,LOI,532
PPB,FLN,976
PPB,ITR,430
PPB,HRZ,474
PPB,ILB,966
PPB,IMP,898
PPB,IPU,859
PPB,IPG,974
PPB,IRE,513
PPB,ITN,385
PPB,ITA,315
PPB,ITB,774
PPB,ITI,947
PPB,ITP,219
PPB,ITQ,64
PPB,AUB,594
PPB,ITE,283
PPB,IJU,985
PPB,JCR,318
PPB,JCM,546
PPB,JNA,221
PPB,JTI,962
PPB,JEQ,455
PPB,JPR,607
PPB,JCB,4
PPB,CPV,805
PPB,JIA,178
PPB,JRN,74
PPB,LBR,633
PPB,LAJ,139
PPB,JOI,814
PPB,RAO,516
PPB,LEP,113
PPB,LIP,402
PPB,LDB,715
PPB,SSA,95
PPB,MEA,328
PPB,MCP,278
PPB,VAG,414
PPB,MNX,312
PPB,MAB,647
PPB,SLZ,428
PPB,CGB,670
PPB,MTG,609
PPB,MBK,281
PPB,MBZ,682
PPB,NTM,560
PPB,MTE,852
PPB,MEU,589
PPB,MOC,294
PPB,PNG,549
PPB,PTO,753
PPB,NNU,590
PPB,NVT,361
PPB,NQL,217
PPB,NOK,806
PPB,NVP,132
PPB,OBI,624
PPB,OYK,372
PPB,ORX,603
PPB,OIA,55
PPB,OUS,794
PPB,MCZ,202
PPB,PMW,871
PPB,PLU,474
PPB,PBB,217
PPB,PIN,456
PPB,PFB,354
PPB,PSW,644
PPB,POJ,900
PPB,PAV,285
PPB,PNZ,163
PPB,PCS,49
PPB,PBQ,538
PPB,PHI,556
PPB,FOR,112
PPB,PIV,530
PPB,PIG,153
PPB,POO,839
PPB,PLL,132
PPB,PMG,847
PPB,LCB,601
PPB,PBX,113
PPB,PTQ,982
PPB,PBV,273
PPB,PNB,726
PPB,BPS,887
PPB,PPY,431
PPB,PDF,446
PPB,RBR,850
PPB,BSB,114
PPB,PGG,808
PPB,RDC,976
PPB,MGF,966
PPB,JDO,875
PPB,IDO,364
PPB,RIG,225
PPB,RVD,6
PPB,ROO,164
PPB,URG,979
PPB,POA,811
PPB,SNZ,103
PPB,CSU,610
PPB,SFV,617
PPB,GYN,686
PPB,AJU,203
PPB,SRA,140
PPB,SSZ,355
PPB,PHB,407
PPB,SDU,299
PPB,SXO,728
PPB,SXX,200
PPB,SJP,834
PPB,SJK,891
PPB,SSO,295
PPB,SQY,96
PPB,SBJ,446
PPB,SQM,457
PPB,SQX,207
PPB,GRU,271
PPB,ZMD,728
PPB,THE,56
PPB,SEI,15
PPB,GEL,888
PPB,RRN,347
PPB,RSG,840
PPB,OPS,8
PPB,SOD,565
PPB,SWM,784
PPB,RWS,119
PPB,TBT,639
PPB,CNF,513
PPB,GPB,402
PPB,TGQ,855
PPB,TRQ,323
PPB,TFF,307
PPB,TXF,261
PPB,TEC,255
PPB,TFL,991
PPB,TOW,408
PPB,TSQ,615
PPB,TMT,21
PPB,TUZ,37
PPB,TUR,590
PPB,UBT,945
PPB,UBA,234
PPB,UNA,925
PPB,IPN,565
PPB,BEL,451
PPB,VAL,680
PPB,VIA,240
PPB,BVH,378
PPB,VCP,42
PPB,VDC,598
PPB,VOT,649
PPB,AXE,768
MVS,PPB,33
MVS,XAP,308
MVS,CWB,236
MVS,ALT,273
MVS,AMJ,703
MVS,AFL,199
MVS,ATM,83
MVS,APY,869
MVS,APS,133
MVS,APU,558
MVS,ARU,973
MVS,ARS,10
MVS,AUX,880
MVS,APQ,241
MVS,APX,880
MVS,AAG,210
MVS,AQA,252
MVS,AAX,998
MVS,AQM,38
MVS,AAI,50
MVS,ZFU,215
MVS,AIF,47
MVS,NAT,640
MVS,BFH,805
MVS,BSS,282
MVS,BAZ,411
MVS,BQQ,743
MVS,BDC,353
MVS,BPG,306
MVS,BRA,446
MVS,BRB,655
MVS,CAW,524
MVS,RIA,235
MVS,BAU,835
MVS,BVM,319
MVS,BGV,661
MVS,BNU,313
MVS,BVB,191
MVS,BCR,125
MVS,LAZ,891
MVS,BYO,937
MVS,RBB,311
MVS,BJP,29
MVS,BVS,215
MVS,BMS,326
MVS,BZC,89
MVS,CFB,94
MVS,CFC,533
MVS,CCX,766
MVS,CCQ,62
MVS,CDI,871
MVS,OAL,666
MVS,CLV,588
MVS,CMT,659
MVS,CMC,402
MVS,CPQ,648
MVS,CMP,631
MVS,CXJ,72
MVS,CGR,18
MVS,CBW,259
MVS,NBV,125
MVS,CQA,306
MVS,CNV,702
MVS,FLB,666
MVS,CKS,937
MVS,CAF,254
MVS,CRQ,593
MVS,CZB,94
MVS,CLN,366
MVS,CAU,305
MVS,CTP,971
MVS,CAC,605
MVS,CSS,514
MVS,JPA,951
MVS,TLZ,195
MVS,IGU,109
MVS,BAT,948
MVS,LEC,644
MVS,BGX,379
MVS,CIZ,861
MVS,CSW,107
MVS,ERM,890
MVS,CDJ,159
MVS,CCI,287
MVS,STZ,475
MVS,CFO,344
MVS,CGH,621
MVS,CKO,797
MVS,CMG,609
MVS,CCM,562
MVS,CZS,773
MVS,CPU,947
MVS,SJL,650
MVS,DMT,859
MVS,DNO,77
MVS,DIQ,917
MVS,MVF,41
MVS,CTQ,490
MVS,LVB,16
MVS,DOU,752
MVS,MII,781
MVS,PVI,783
MVS,IOS,835
MVS,STM,101
MVS,UDI,741
MVS,MAO,286
MVS,ERN,49
MVS,UMU,128
MVS,URB,256
MVS,ESI,314
MVS,VIX,151
MVS,ALQ,542
MVS,PET,993
MVS,FEJ,107
MVS,FEC,730
MVS,FEN,174
MVS,FRC,226
MVS,FBE,655
MVS,JDF,670
MVS,GIG,10
MVS,PVH,320
MVS,GVR,271
MVS,GCV,932
MVS,GDP,688
MVS,GJM,4
MVS,GNM,619
MVS,GUZ,837
MVS,REC,559
MVS,GUJ,424
MVS,GMS,223
MVS,GRP,239
MVS,LOI,132
MVS,FLN,737
MVS,ITR,892
MVS,HRZ,964
MVS,ILB,886
MVS,IMP,283
MVS,IPU,588
MVS,IPG,249
MVS,IRE,910
MVS,ITN,45
MVS,ITA,22
MVS,ITB,276
MVS,ITI,994
MVS,ITP,65
MVS,ITQ,832
MVS,AUB,33
MVS,ITE,657
